               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10011,            0.028763,            0.040999,           0.0035196,              0.3418,           0.0094557,           0.0021798,            0.090726,             0.02145,            0.038661,            0.070142,           0.0033176,           0.0033176
                   1,            0.078885,            0.030632,             0.03526,             0.52609,            0.057104,            0.033509,           0.0073888,            0.080133,            0.018291,            0.035737,            0.040128,           0.0066378,           0.0066378
                   2,            0.071155,             0.02825,            0.033078,             0.40336,             0.14077,            0.095909,             0.03793,            0.071651,            0.018555,            0.034435,            0.010102,           0.0099447,           0.0099447
                   3,            0.063335,            0.029763,            0.031384,             0.26306,             0.20328,             0.15746,            0.050362,             0.06956,            0.019138,            0.033942,           0.0099406,           0.0099406,           0.0099406
                   4,            0.060497,            0.029718,            0.030786,             0.30497,             0.28535,             0.22465,              0.1038,            0.061438,            0.018446,            0.031294,           0.0099406,           0.0099406,           0.0099406
                   5,             0.06034,            0.030053,             0.02984,             0.27328,             0.18389,             0.14414,            0.059143,            0.068476,            0.019293,            0.032603,           0.0099208,           0.0099208,           0.0099208
                   6,            0.058866,              0.0291,            0.029026,             0.34859,             0.31705,              0.2998,             0.14046,            0.058284,            0.017833,            0.029828,            0.009901,            0.009901,            0.009901
                   7,            0.056849,            0.028933,            0.026174,             0.34495,             0.25557,             0.22684,             0.09081,            0.062234,            0.018383,            0.030023,           0.0098812,           0.0098812,           0.0098812
                   8,             0.05645,            0.028996,            0.025078,              0.3216,             0.32115,             0.26403,             0.11308,            0.060711,            0.018136,            0.028652,           0.0098614,           0.0098614,           0.0098614
                   9,            0.055376,            0.029102,            0.025158,             0.31852,             0.28719,             0.24724,            0.084993,            0.062143,            0.019123,            0.033984,           0.0098416,           0.0098416,           0.0098416
                  10,            0.054861,            0.029036,            0.021958,             0.28163,             0.28094,             0.21845,            0.080828,            0.063379,            0.018786,            0.036066,           0.0098218,           0.0098218,           0.0098218
                  11,            0.054617,            0.029142,            0.023049,             0.32248,             0.35731,             0.29547,             0.11646,            0.059054,            0.018395,            0.027261,            0.009802,            0.009802,            0.009802
                  12,             0.05524,            0.029782,            0.023194,             0.34359,             0.28638,             0.25599,             0.11092,            0.059445,            0.018326,            0.030335,           0.0097822,           0.0097822,           0.0097822
                  13,            0.054964,            0.028891,            0.022709,             0.35146,             0.29129,             0.26818,             0.12522,            0.059362,            0.018752,            0.029538,           0.0097624,           0.0097624,           0.0097624
                  14,            0.053502,            0.029473,            0.021281,             0.44388,             0.39017,             0.37401,             0.17527,            0.055485,             0.01803,            0.024889,           0.0097426,           0.0097426,           0.0097426
                  15,            0.055143,            0.029753,            0.021964,             0.39706,             0.34037,              0.3223,              0.1317,            0.059758,            0.017927,            0.026146,           0.0097228,           0.0097228,           0.0097228
                  16,            0.054188,            0.028542,            0.021477,             0.43286,             0.40405,             0.37485,             0.16983,             0.05664,            0.017859,            0.023492,            0.009703,            0.009703,            0.009703
                  17,             0.05337,             0.02891,            0.020937,             0.36746,             0.38643,             0.31881,             0.13694,            0.056135,            0.018197,            0.026184,           0.0096832,           0.0096832,           0.0096832
                  18,             0.05291,            0.028916,            0.020753,             0.37631,             0.32107,             0.30835,             0.13636,            0.061515,            0.017942,            0.029538,           0.0096634,           0.0096634,           0.0096634
                  19,            0.052584,            0.028371,            0.019866,             0.40705,              0.3715,             0.32239,             0.14871,            0.056308,             0.01816,             0.02372,           0.0096436,           0.0096436,           0.0096436
                  20,             0.05146,            0.029014,            0.019175,             0.45697,             0.30522,             0.33138,             0.14185,            0.058472,            0.018227,            0.028052,           0.0096238,           0.0096238,           0.0096238
                  21,            0.051885,            0.028537,            0.018517,              0.4264,             0.39526,             0.33977,             0.14213,             0.05758,            0.018023,            0.029845,            0.009604,            0.009604,            0.009604
                  22,            0.053095,            0.029306,            0.019305,             0.42659,             0.35366,             0.33225,             0.14085,            0.055162,            0.017914,            0.027048,           0.0095842,           0.0095842,           0.0095842
                  23,            0.051374,            0.028364,            0.018401,             0.46978,             0.42345,             0.41588,             0.17634,            0.053721,            0.017834,            0.024872,           0.0095644,           0.0095644,           0.0095644
                  24,            0.051477,            0.027963,            0.017244,             0.46528,             0.39615,             0.40207,             0.17411,            0.055942,            0.017828,            0.020908,           0.0095446,           0.0095446,           0.0095446
                  25,            0.051815,            0.028346,            0.016468,             0.48789,             0.43103,             0.43142,             0.19847,            0.056541,            0.017797,            0.022651,           0.0095248,           0.0095248,           0.0095248
                  26,            0.051224,            0.028317,             0.01598,             0.46645,             0.40536,             0.39309,              0.1918,            0.056154,            0.017561,            0.024609,            0.009505,            0.009505,            0.009505
